In English	Country	Nationality	Language
Afghanistan	Afganistán	afgano	darí, patún
Albania	Albania	albanés	albanés
Algeria	Argelia	argelino	árabe
Angola	Angola	angolano	portugués
Argentina	Argentina	argentino	español
Armenia	Armenia	armenio	armenio
Australia	Australia	australiano	inglés
Austria	Austria	austriaco	alemán
Azerbaijan	Azerbaiyán	azerbaiyano	azerí
Bangladesh	Bangladés	bangladesí	bengalí
Baréin	Baréin	bareiní	árabe
Belarus	Bielorrusia	bielorruso	bielorruso
Belgium	Bélgica	belga	francés, holandés, alemán
Belize	Belice	beliceño	español, inglés
Benin	Benín	beninés	francés
Bolivia	Bolivia	boliviano	español, quechua, aimara, guaraní
Botswana	Botsuana	botsuano	inglés, setsuana
Brazil	Brazil	brasileño	portugués
Brunei	Brunéi	bruneano	malayo
Bulgaria	Bulgaria	búlgaro	búlgaro
Burkina Faso	Burkina FasoListen	burkinés	francés
Burundi	Burundi	burundés	francés, kirundi
Cambodia	Camboya	camboyano	camboyano
Cameroon	Camerún	camerunés	francés, inglés
Canada	Canadá	canadiense	inglés, francés
Cape Verde	Cabo Verde	caboverdiano	portugués
Central African Republic	República centroafricana	centroafricano	francés, sango
Chad	Chad	chadiano	francés, árabe
Chile	Chile	chileno	español
China	China	chino	chino, mandarín
Colombia	Colombia	colombiano	español
Comoros	Comoras	comorense	árabe, suajili, francés
Costa Rica	Costa Rica	tico	español
Croatia	Croacia	croato	croato
Cuba	Cuba	cubano	español
Czech Republic	República Checa	checo	checo
Denmark	Dinamarca	danés	danés
Dominican Republic	República Dominicana	dominicano	español, inglés
East Timor	Timor Oriental	timorense	portugués, tetun
Ecuador	Ecuador	ecuatoriano	español
Egypt	Egipto	egipcio	árabe
England	Inglaterra	inglés	inglés
Eritrea	Eritrea	eritreo	árabe
Estonia	Estonia	estonio	estonio
Ethiopia	Etiopía	etíope	amárico
Finland	Finlandia	finlandés	finlandés
France	Francia	francés	francés
Gabon	Gabón	gabonés	francés
Gambia	Gambia	gambiano	inglés
Georgia	Georgia	georgiano	georgiano
Germany	Alemania	alemán	alemán
Ghana	Ghana	ghanés	inglés
Greece	Grecia	griego	griego
Guatemala	Guatemala	guatemalteco	español
Guinea	Guinea	guineano	francés
Holand	Holanda	holandés	holandés
Honduras	Honduras	hondureño	español, inglés
Hungary	Hungría	húngaro	húngaro
India	India	indio	hindi, inglés
Indonesia	Indonesia	indionisio	indonesio
Iran	Irán	iraní	persa
Iraq	Irak	iraquí	árabe
Ireland	Irlanda	irlandés	inglés
Island	Islandia	islandés	islandés
Israel	Israel	israelí	hebreo, árabe
Italy	Italia	italiano	italiano
Japan	Japón	japonés	japonés
Jordan	Jordania	jordano	árabe
Kazakhstan	Kazajistán	kazajo	kazajo, ruso
Kenya	Kenia	keniata	suajili, inglés
Kyrgyzstan	Kirguistán	kirguís	kirguís, ruso
Latvia	Letonia	letón	letón
Liberia	Liberia	liberiano	inglés
Libya	Libia	libio	árabe
Lithuania	Lituania	lituano	lituano
Macedonia	Macedonia	macedónio	macedónio
Madagascar	Madagascar	malgache	francés, malgache
Malawi	Malaui	malauí	inglés, chichewa
Malaysia	Malasia	malayo	malayo, inglés
Maldivas	Maldivas	maldivo	maldivo
Mali	Mali	maliense	francés
Malta	Malta	maltés	inglés
Mauricio	Mauricio	mauriciano	inglés, francés..
Mauritania	Mauritania	mauritano	árabe
Mexico	México	mexicano	español
Moldavia	Moldavia	moldoviano	moldoviano
Mongolia	Mongolia	mongól	mongol
Montenegro	Montenegro	montenegrino	montenegrino
Morocco	Marruecos	marroquí	árabe, bereber
Mozambique	Mozambique	mozambiqueño	portugués
Namibia	Namibia	namibio	afrikáans, alemán
Nicaragua	Nicaragua	nicaragüense	español
Niger	Niger	nigeriano	francés
North Korea	Corea del Norte	norcoreano	coreano
Norway	Noruega	noruego	noruego
Oman	Omán	omanés	árabe
Pakistan	Pakistán	pakistaní	urdu, inglés
Palestina	Palestina	palestino	árabe
Panama	Panamá	panameño	español, inglés
Paraguay	Paraguay	paraguayo	español y guaraní
Peru	Perú	peruano	español
Philippines	Filipinas	filipino	filipino, inglés
Poland	Polonia	polaco	polaco
Portugal	Potugal	portugués	portugués
Puerto Rico	Puerto Rico	puertorriqueño	español, inglés
Republic of Congo	República del Congo	congoleño	francés, lingala, kituba
Romania	Rumania	rumano	rumano
Russia	Rusia	ruso	ruso
Russia	Rusia	ruso	ruso
Rwanda	Ruanda	ruandés	kinyanwarda, inglés, francés
Salvador	Salvador	salvadoreño	español
Scotland	Escosia	escosés	inglés
Senegal	Senegal	senegalés	francés
Serbia	Serbia	serbio	serbio
Seychelles	Seychelles	seychelense	inglés, francés..
Sierra Leone	Sierra Leona	sierraleonés	inglés
Singapore	Singapur	singapurense	chino, inglés, malayo, tamil
Slovakia	Eslovaquia	eslovaco	eslovaco
Slovenia	Eslovenia	esloveno	esloveno
Somalia	Somalia	somalí	somalí
South Africa	Sudáfrica	sudafricano	inglés, afrikáans
South Korea	Corea del Sur	surcoreano	coreano
Spain	España	español	español
Sudan	Sudán	sudanés	inglés, árabe
Swaziland	Suazilandia	suazi	suazi, inglés
Sweden	Suecia	sueco	sueco
Switzerland	Suiza	suizo	alemán
Syria	Siria	sirio	árabe
Tanzania	Tanzania	tanzano	suajili, inglés
Thailand	Tailandia	tailandés	tailandés
Togo	Togo	togolés	francés
Tunisia	Túnez	tunecino	árabe
Turkey	Turquía	turco	turco
Uganda	Uganda	ugandés	inglés, suajili
Ukraine	Ucrania	ucranio	ucranio, ruso
United Kingdom	Reino Unido	británico	inglés
United States	Estados Unidos	estadounidense	inglés
Uruguay	Uruguay	uruguayo	español
Uzbekistan	Uzbekistán	uzbeco	uzbeco, ruso
Venezuela	Venezuela	venezolano	español
Vietnam	Vietnam	vietnamita	vietnamita
Yemen	Yemen	yemení	árabe
Zambia	Zambia	zambiano	inglés
Zimbabwe	Zimbabue	zimbabuense	inglés
